Section: ST1;  Area: 2.9007497717626
Section: ST2;  Area: 5.23704962502181
Section: ST3;  Area: 7.5935500039272
Section: ST4;  Area: 9.82354991401004
Section: ST5;  Area: 11.9662999396772
Section: ST6;  Area: 14.0231500856271
Section: ST7;  Area: 16.0058000341131
Section: ST8;  Area: 17.7587001984608
Section: ST9;  Area: 19.4847996525281
Section: ST10;  Area: 20.9931991445411
Section: ST11;  Area: 22.4191989912863
Section: ST12;  Area: 23.7653488910867
Section: ST13;  Area: 24.98619915015
Section: ST14;  Area: 26.2275005247493
Section: ST15;  Area: 27.2902503928864
Section: ST16;  Area: 28.4000991206806
Section: ST17;  Area: 29.3608498485764
Section: ST18;  Area: 30.3293507850759
Section: ST19;  Area: 31.1869492025931
Section: ST20;  Area: 31.9583994271162
Section: ST21;  Area: 32.6327009657219
Section: ST22;  Area: 33.3136992638655
Section: ST23;  Area: 33.8476512033523
Section: ST24;  Area: 34.2808014562532
Section: ST25;  Area: 34.7433997390503
Section: ST26;  Area: 35.1542497325195
Section: ST27;  Area: 35.4829016265166
Section: ST28;  Area: 35.7034999674482
Section: ST29;  Area: 35.9351497475433
Section: ST30;  Area: 36.0945486005383
Section: ST31;  Area: 36.1716484314271
Section: ST32;  Area: 36.2171487641116
Section: ST33;  Area: 36.1617502166927
Section: ST34;  Area: 36.0159499024704
Section: ST35;  Area: 35.8900003636349
Section: ST36;  Area: 35.6209000357144
Section: ST37;  Area: 35.2840501002984
Section: ST38;  Area: 34.9225499438948
Section: ST39;  Area: 34.3668499319436
Section: ST40;  Area: 33.8228003105952
Section: ST41;  Area: 33.0846999852663
Section: ST42;  Area: 32.3255502823257
Section: ST43;  Area: 31.3728503134504
Section: ST44;  Area: 30.3780503526859
Section: ST45;  Area: 29.1644999231642
Section: ST46;  Area: 27.8420000692426
Section: ST47;  Area: 26.4457501388196
Section: ST48;  Area: 25.0287005668416
Section: ST49;  Area: 23.6598000575834
Section: ST50;  Area: 22.3775003586427
Section: ST51;  Area: 21.1668997041769
Section: ST52;  Area: 20.0600502341921
Section: ST53;  Area: 19.0327498004218
Section: ST54;  Area: 18.1330504049976
Section: ST55;  Area: 17.2699489942423
Section: ST56;  Area: 16.5876991564467
