Section: ST1;  Area: 0
Section: ST2;  Area: 0.48462904937586
Section: ST3;  Area: 1.13898328240622
Section: ST4;  Area: 1.75646833399724
Section: ST5;  Area: 2.36871878308016
Section: ST6;  Area: 2.9961454246193
Section: ST7;  Area: 3.6251730859632
Section: ST8;  Area: 4.22784277426713
Section: ST9;  Area: 4.81533260742131
Section: ST10;  Area: 5.38101396151949
Section: ST11;  Area: 5.92349440784976
Section: ST12;  Area: 6.46344430278097
Section: ST13;  Area: 6.97897836157952
Section: ST14;  Area: 7.48823151853118
Section: ST15;  Area: 7.97471317743065
Section: ST16;  Area: 8.47530150098884
Section: ST17;  Area: 8.95068759815178
Section: ST18;  Area: 9.41956776747451
Section: ST19;  Area: 9.85601977537985
Section: ST20;  Area: 10.2968245420742
Section: ST21;  Area: 10.6747668762814
Section: ST22;  Area: 11.0581162020521
Section: ST23;  Area: 11.3884755905143
Section: ST24;  Area: 11.697974941443
Section: ST25;  Area: 12.0015822605244
Section: ST26;  Area: 12.2491702692115
Section: ST27;  Area: 12.4749068712613
Section: ST28;  Area: 12.6505397325989
Section: ST29;  Area: 12.7897461532535
Section: ST30;  Area: 12.9342471257485
Section: ST31;  Area: 12.976154205462
Section: ST32;  Area: 12.99482635557
Section: ST33;  Area: 12.9980844890189
Section: ST34;  Area: 12.8897525754375
Section: ST35;  Area: 12.7939116789375
Section: ST36;  Area: 12.5928089978106
Section: ST37;  Area: 12.3356581234012
Section: ST38;  Area: 12.0691629478332
Section: ST39;  Area: 11.6434915938553
Section: ST40;  Area: 11.2308671189663
Section: ST41;  Area: 10.6663283994799
Section: ST42;  Area: 10.0884125254982
Section: ST43;  Area: 9.35698639807804
Section: ST44;  Area: 8.60342799510604
Section: ST45;  Area: 7.69273445438696
Section: ST46;  Area: 6.70023115078098
Section: ST47;  Area: 5.67667641884708
Section: ST48;  Area: 4.66705618390027
Section: ST49;  Area: 3.72411715672032
Section: ST50;  Area: 2.86626927964231
Section: ST51;  Area: 2.09703295081682
Section: ST52;  Area: 1.44431495642084
Section: ST53;  Area: 0.890610568573401
Section: ST54;  Area: 0.491295182708115
Section: ST55;  Area: 0.219169708672975
Section: ST56;  Area: 0.0872155632972521
